508,LAGE3
509,PCYOX1L
510,NOC4L
511,SLIRP
512,RAVER2
513,SIGLEC11
514,GET4
515,MRPL22
516,FNTB
517,KLF6
518,PRPF4B
519,HSBP1
520,MRP63
521,EIF3CL
522,TUBB8
523,NDRG3
524,MYL12A
525,CEPT1
526,PELP1
527,LIN9
528,STXBP3
529,GCSH
530,HNRNPF
531,RFPL4AL1
532,DDOST
533,IGF2BP1
534,RPS19BP1
535,IKBKAP
536,CFL1
537,THAP11
538,IDI1
539,COBLL1
540,FAM136A
541,COG4
542,FAM83D
543,CD8B
544,IGLON5
545,LIMS3L
546,INTS1
547,PLA2G10
548,EXOC3
549,GEN1
550,TBCC
551,CUL2
552,ZFYVE20
553,ZRSR2
554,PTMS
555,SNRNP48
556,KRTAP12-4
557,PTDSS1
558,MTOR
559,LILRA6
560,PIM1
561,ITGA2B
562,C10orf82
563,WBP4
564,SELK
565,PHF3
566,ADAMTSL4
567,MED29
568,DICER1
569,MTIF2
570,POU5F1B
571,SRP9
572,IFT88
573,PNPT1
574,NACA
575,UBE2T
576,GSK3B
577,PERP
578,ACO2
579,USP12
580,PITRM1
581,KIF14
582,HIGD2A
583,TNPO1
584,SKA2
585,WDR7
586,OLA1
587,BRD2
588,BEX2
589,METTL1
590,LRIF1
591,MRPL40
592,TGS1
593,VPS4B
594,PPIAL4G
595,PDPK1
596,BRAT1
597,IREB2
598,TLN1
599,PRAC1
600,NDUFAF4
601,CENPF
602,DIDO1
603,CCDC38
604,CDK4
605,NUP62
606,KLF16
607,TDP2
608,ADHFE1
609,PPM1D
610,TMA16
611,LARP7
612,KRTAP4-8
613,ISG20L2
614,ZNF564
615,ZNF501
616,STRA13
617,PPP3CB
618,NUCKS1
619,ACLY
620,CDC37
621,COQ3
622,NSFL1C
623,PPIL1
624,C1orf27
625,SMG6
626,C1orf131
627,NDUFA6
628,PTCD3
629,IGSF3
630,PMCH
631,ZNF486
632,DNAJC11
633,NELFCD
634,MARS2
635,UBAP1
636,INTS3
637,MRPL46
638,BAG4
639,CEP97
640,LAMTOR3
641,AATF
642,MAGEA9B
643,ATP5O
644,RNF19A
645,SCARF1
646,C1orf234
647,RP9
648,ESCO2
649,SLC30A9
650,CSDE1
651,MED1
652,TIMMDC1
653,NCKAP5L
654,TAGLN2
655,WDR74
656,AKAP3
657,SPATA5
658,TM4SF18
