Gene,Score,Bucket
ZCRB1,21.638,10
NCOR1,21.625,4
TCP11X2,21.625,10
BET1,21.594,9
BRD8,21.586,9
RNF123,21.556,10
ZNF98,21.556,10
NIT2,21.545,5
DYRK1A,21.481,4
TMEM261,21.481,10
IDI1,21.473,4
UBQLN4,21.417,9
AZGP1,21.313,4
C21orf2,21.313,5
CLPB,21.313,10
DSCC1,21.313,10
ERCC1,21.313,9
MEAF6,21.313,10
MYSM1,21.313,5
NAIP,21.313,5
PAQR8,21.313,4
SLC35B2,21.313,9
SP110,21.313,9
UPF3B,21.313,4
YIPF3,21.313,6
ZNF148,21.313,9
GTF2H2,21.238,10
ARPP19,21.225,9
COX20,21.205,10
CD8B,21.114,4
SARNP,21.114,10
NDUFA1,21.086,1
CALM2,21.069,4
NARS2,21.069,10
CENPF,21,9
DET1,21,9
G3BP2,21,9
KIAA0391,21,9
PHF12,21,10
GOLGA6A,20.98,9
BNIP3,20.967,9
NAA25,20.953,10
ASH2L,20.926,9
UBR5,20.926,9
NDUFB6,20.907,1
ATP5SL,20.875,10
C17orf49,20.875,10
METTL15,20.875,10
OLA1,20.875,4
CNOT7,20.86,7
UQCRQ,20.844,9
ATP5I,20.837,10
LIMS1,20.766,6
AKAP9,20.75,5
ARHGAP35,20.75,4
FAM168A,20.75,10
MAPK8,20.75,2
MKLN1,20.75,10
PPP4R2,20.75,10
TSFM,20.75,9
ZNF486,20.75,5
BRI3,20.737,5
MRPL18,20.737,4
PTP4A1,20.707,5
MED7,20.707,9
DNAJB6,20.7,10
NAE1,20.693,4
ANP32A,20.583,9
APOBEC4,20.583,9
ARHGEF5,20.583,5
ARID4A,20.583,5
BOD1L1,20.583,10
BRD1,20.583,4
C1orf52,20.583,10
CEACAM6,20.583,5
DCUN1D1,20.583,10
DIP2B,20.583,5
DOT1L,20.583,2
DRAP1,20.583,9
EPG5,20.583,10
FAM96A,20.583,10
FANCB,20.583,9
HLA-A,20.583,5
HMGB1,20.583,4
HMGCLL1,20.583,10
IFNGR1,20.583,5
ITIH3,20.583,5
JPH1,20.583,6
KIF2A,20.583,9
MAPKAPK5,20.583,2
NBN,20.583,9
NCSTN,20.583,4
NSFL1C,20.583,5
PARL,20.583,9
PDSS2,20.583,10
PLEC,20.583,4
POLG,20.583,4
QTRT1,20.583,9
SERP1,20.583,6
SLC25A51,20.583,10
SLC30A9,20.583,6
SLK,20.583,4
SPIN2A,20.583,10
TIMM50,20.583,10
TPK1,20.583,5
USP15,20.583,4
WBP4,20.583,9
AP1S2,20.512,9
MRPS17,20.412,10
ALG8,20.375,9
KPNA4,20.375,5
MBTPS2,20.354,6
DPPA3,20.35,9
CYP3A43,20.318,1
MRPL42,20.318,4
NME1-NME2,20.318,4
PLAC9,20.318,4
TRAPPC13,20.303,10
GPR89A,20.299,9
VPS26A,20.276,5
FANCM,20.259,9
CSTF1,20.228,9
COX15,20.219,9
FAM104B,20.219,10
HNRNPF,20.219,10
RAB14,20.219,5
VDAC2,20.219,5
TMA16,20.211,10
PIGY,20.181,5
RFT1,20.147,6
TBL1XR1,20.03,9
ARNT,20,4
CHST8,20,9
ELF2,20,9
FAM83D,20,10
GTF2IRD2,20,10
KDM1A,20,4
RAB5C,20,4
RABIF,20,4
SLTM,20,9
SMARCC2,20,10
TBC1D10C,20,5
TNP1,20,9
TOX4,20,10
ZNF706,20,10
IGLON5,19.879,4
KIAA2013,19.854,6
RNF40,19.854,9
UBE2W,19.854,10
SCG5,19.816,6
BRWD1,19.75,9
NCOA6,19.75,9
TSEN15,19.75,9
RPL36AL,19.63,5
DMRTC1,19.611,10
NADK,19.611,6
SLBP,19.533,9
CERS2,19.523,9
IL6ST,19.523,4
KRT8,19.49,5
ARPC1A,19.417,5
GNG5,19.417,4
NDUFB5,19.417,1
CENPU,19.333,10
OXA1L,19.315,9
PSMF1,19.315,9
RFC1,19.31,5
RBM8A,19.305,4
RPAP3,19.292,10
NDUFA5,19.258,1
ACAP2,19.125,9
ACVR2A,19.125,4
BRAP,19.125,9
C1orf27,19.125,6
CCDC90B,19.125,10
CCNE2,19.125,7
CEND1,19.125,6
CEP57,19.125,9
DDRGK1,19.125,7
EBPL,19.125,7
EPN1,19.125,5
FERMT3,19.125,5
FKBP9,19.125,7
GATS,19.125,10
HPCAL1,19.125,5
KMT2B,19.125,10
LIPT1,19.125,9
LUC7L2,19.125,10
MAPK14,19.125,2
MDH2,19.125,4
NUCB2,19.125,4
NUDT16L1,19.125,10
PEX19,19.125,8
PIAS1,19.125,10
PIGW,19.125,9
PTP4A2,19.125,5
RNF24,19.125,10
TMED2,19.125,9
TMEM14B,19.125,6
VCPIP1,19.125,10
ZNF479,19.125,9
ZNF532,19.125,9
TRIM49D1,18.911,10
ALG6,18.833,9
GOT2,18.825,4
CUL1,18.823,5
EIF4E2,18.788,4
SUCLA2,18.76,5
THAP5,18.747,10
NBPF4,18.727,10
NUTM2F,18.727,10
ALG10,18.688,10
ANKRD36,18.688,10
ZRANB2,18.688,8
KRTAP5-11,18.664,10
EXOSC1,18.639,10
HLA-B,18.639,5
PCNP,18.639,9
UQCRB,18.578,9
VPS29,18.564,5
CCDC58,18.547,10
LLPH,18.525,10
KAT7,18.5,9
RAB28,18.5,4
RCN2,18.5,7
RHOF,18.5,4
SLC19A2,18.5,5
UBE2D4,18.5,10
ZNF705G,18.5,10
BMI1,18.434,9
MMGT1,18.434,8
LIN9,18.274,10
C6orf89,18.25,5
GNAQ,18.25,5
MSH2,18.25,5
NCF1,18.25,4
NT5DC1,18.25,10
PLG,18.25,1
RANBP9,18.25,4
TEKT4,18.25,10
EIF5AL1,18.217,10
PAIP1,18.153,10
RCN1,18.115,7
SSX4,18.115,9
EGR2,18.069,9
UCHL5,18.061,4
LCE2B,18.056,8
AQP7,18.031,5
CCDC38,18.031,9
DCTN1,18.031,9
MRPL30,18.031,4
ANP32B,17.974,5
ATP5G2,17.974,9
CA5A,17.932,1
CENPH,17.932,9
EPCAM,17.932,4
CBWD3,17.887,10
ARID5A,17.667,10
BCL10,17.667,5
CCDC152,17.667,10
CEBPD,17.667,9
DNAJC2,17.667,9
DPY19L4,17.667,6
E2F6,17.667,10
EIF4E3,17.667,10
FOCAD,17.667,6
GHITM,17.667,5
HRK,17.667,6
ICMT,17.667,7
LIN54,17.667,9
LYRM2,17.667,10
MTRF1,17.667,10
MYL6,17.667,5
NANP,17.667,10
NFKB1,17.667,5
NUBPL,17.667,5
PDCL3,17.667,9
PDPR,17.667,9
PGRMC1,17.667,5
PIN4,17.667,4
POMZP3,17.667,8
PPP2R3B,17.667,10
RAD52,17.667,9
RBM4,17.667,10
SELK,17.667,10
SMAD2,17.667,6
SMIM6,17.667,6
SOCS5,17.667,9
SPANXN2,17.667,10
SPEF2,17.667,10
TCEAL7,17.667,10
ZNF69,17.667,10
LYRM7,17.534,10
GSK3B,17.524,1
SUGT1,17.5,10
UBE2D2,17.424,4
GCSH,17.375,10
ITM2B,17.324,4
MINOS1,17.311,10
BRCA1,17.302,5
ZNF559,17.302,10
ADHFE1,17.25,9
CYFIP1,17.25,4
FABP5,17.25,4
FAM133B,17.25,10
PPHLN1,17.25,10
LSM14A,17.2,10
HMGN2,17.181,5
BTF3,17.156,9
CNOT2,17.136,5
PSG2,17.053,4
ZNF141,17.019,10
SLC9B1,16.958,5
ADH5,16.938,4
AGL,16.938,5
C11orf57,16.938,10
GATAD2A,16.938,9
HMGN4,16.938,10
HNRNPH3,16.938,10
MALL,16.938,5
MRPL1,16.938,9
NDUFB11,16.938,1
NDUFV2,16.938,1
PIFO,16.938,10
PPP6C,16.938,9
SFTA2,16.938,4
SPIC,16.938,9
SPTLC1,16.938,9
TBK1,16.938,4
TCEA1,16.938,9
TMX2,16.938,6
ZBTB41,16.938,10
ZNF729,16.938,10
ZNF143,16.85,9
KRTAP5-3,16.769,9
MRPL3,16.769,4
SMURF2,16.769,4
AKIRIN1,16.694,10
C5orf15,16.694,6
CEP135,16.694,10
PERP,16.694,5
HEPN1,16.652,10
APIP,16.625,10
RRP36,16.625,10
AZI2,16.5,10
CCDC144NL,16.5,10
DRG1,16.5,10
GLS,16.5,4
MFN1,16.5,9
PRDX4,16.5,4
TAF11,16.5,4
VDAC3,16.5,5
TVP23C-CDRT4,16.341,6
KRTAP5-1,16.285,9
ACAT1,16.208,4
CASP3,16.208,4
FAM86C1,16.208,10
KERA,16.208,5
NUP37,16.208,10
ODF1,16.208,10
SSX1,16.208,9
SSX2,16.208,9
AP3S1,16.096,10
TRMT11,16.096,10
MYL12A,16.053,5
AP3M1,16,9
BCAP29,16,4
CARS2,16,9
DAP,16,10
FKBP3,16,4
ZNF468,16,9
CEP70,15.917,10
AZIN1,15.844,8
CD9,15.844,4
RWDD4,15.844,10
TUBB2B,15.844,1
NOC3L,15.8,10
ZNF431,15.8,10
IFNL2,15.722,4
ANGPTL5,15.625,4
PPP3R1,15.625,6
KCTD9,15.545,9
C1D,15.479,9
COX19,15.406,10
PRAMEF22,15.375,10
UQCR11,15.375,10
DRD5,15.236,1
NME2,15.236,4
ATP5L2,15.223,10
FAM91A1,15.211,10
NCK1,15.211,4
FAM25A,15.13,10
LCE2D,14.958,8
AGAP6,14.953,10
PRAC1,14.949,10
ACER1,14.75,10
ADAM10,14.75,4
AGR3,14.75,7
APRT,14.75,4
ARPC5,14.75,5
ATP6V0D2,14.75,5
BMF,14.75,5
BMP8A,14.75,4
BTRC,14.75,9
C6orf62,14.75,10
CABIN1,14.75,9
CCDC137,14.75,10
CCDC179,14.75,10
CCDC9,14.75,10
CCNT2,14.75,5
CETN3,14.75,9
CNGA1,14.75,5
CNN2,14.75,5
CNOT6L,14.75,4
COQ5,14.75,10
COX16,14.75,10
COX7A2,14.75,5
CSTA,14.75,5
DCUN1D5,14.75,10
DDX50,14.75,5
DEFB106B,14.75,6
DHCR24,14.75,9
DLAT,14.75,4
EFHD2,14.75,6
EXOC7,14.75,4
FAM133A,14.75,10
FAM200B,14.75,10
FKBP8,14.75,8
FRG2C,14.75,10
GUCA1C,14.75,5
HN1,14.75,10
IL18,14.75,4
KRTAP19-6,14.75,10
KRTAP4-8,14.75,10
LIG4,14.75,5
MAGEA2,14.75,10
NCOA4,14.75,4
NFE2L3,14.75,9
NISCH,14.75,5
NUCKS1,14.75,9
PEAR1,14.75,4
PGBD3,14.75,9
PHF10,14.75,10
PIGH,14.75,10
PPP2R1B,14.75,5
PPP2R5C,14.75,5
PRDX2,14.75,5
PRKACG,14.75,3
PSMB11,14.75,7
PZP,14.75,5
RAB11A,14.75,4
RHOG,14.75,4
RNF128,14.75,9
RNF145,14.75,6
S100A10,14.75,5
SLC25A33,14.75,9
SPANXA2,14.75,10
SPDYE1,14.75,10
SRSF5,14.75,9
SUB1,14.75,5
TRIM9,14.75,10
TWF1,14.75,8
UBE2Q2,14.75,4
UBE3A,14.75,4
UGT2B15,14.75,7
VNN2,14.75,4
WASL,14.75,5
WNT6,14.75,5
ZNF429,14.75,10
ZNF519,14.75,10
ZNF91,14.75,10
ZYX,14.75,5
