Gene,Score,Bucket
YKT6,44.955,5
PSTK,44.941,9
TSEN34,44.903,10
RPN1,44.898,5
ZBTB17,44.862,4
PPP2R1A,44.851,4
PAXBP1,44.839,10
APC,44.819,4
KLF5,44.813,9
MED25,44.797,9
AMD1,44.781,4
ELP4,44.756,10
SENP6,44.639,9
NDUFA3,44.611,1
NDUFV1,44.593,1
NELFE,44.568,5
MCM10,44.566,10
FAM96B,44.564,10
GLE1,44.529,5
MUC20,44.529,4
ZCCHC9,44.526,9
SMARCE1,44.451,10
ALDOC,44.417,5
AMBRA1,44.417,9
CCDC12,44.417,9
DNAJC19,44.417,10
VPS39,44.417,10
BRAF,44.412,1
THAP1,44.404,10
COG8,44.396,10
WDR1,44.384,5
IRF2BP2,44.375,10
LYRM4,44.346,10
CAPZA2,44.25,5
GCLC,44.25,9
IK,44.25,5
LIG1,44.25,9
MRPS34,44.25,10
NDUFA13,44.25,1
PARD6B,44.25,5
PEA15,44.25,9
PTPN1,44.25,4
RNASEH2A,44.25,5
RNF31,44.25,4
RTEL1,44.25,10
SEC31A,44.25,9
SOX11,44.25,9
SRM,44.25,4
WDR73,44.25,10
ZNFX1,44.25,10
ATMIN,44.234,10
CCNC,44.228,4
RHOA,44.208,4
DYNLL1,44.148,5
AURKA,44.121,2
OGT,44.11,4
ECT2,44.097,9
PFDN1,44.08,9
KCTD10,44.056,10
GART,44.026,1
HSPA5,43.974,4
NUP88,43.952,10
MRPL17,43.938,4
TUBE1,43.938,8
HYOU1,43.923,5
IPO7,43.922,9
GATC,43.917,10
HMGA1,43.907,9
PSMG1,43.906,9
CCNB1,43.9,4
CDC42,43.894,4
EMC2,43.886,9
LENG1,43.886,10
LENG8,43.844,9
PPP1R12A,43.835,9
GTF2A1,43.74,7
CAPZB,43.728,5
ACTR5,43.688,10
COG5,43.688,10
EIF4A2,43.688,9
RMI2,43.688,4
ZW10,43.688,9
FIP1L1,43.687,9
NOC2L,43.685,10
NOL6,43.65,9
ATP1A1,43.643,1
TFDP1,43.618,9
MED16,43.577,10
LIN52,43.55,10
CNOT1,43.537,4
DARS2,43.519,9
ZNHIT1,43.5,10
CHORDC1,43.496,9
PRCC,43.476,10
YAP1,43.469,4
NDUFS7,43.444,1
SPRTN,43.421,10
RBM28,43.392,10
STX5,43.386,9
TAF7,43.37,9
TRAPPC1,43.365,5
MRPL50,43.331,4
ALG2,43.331,6
ATP6V1C1,43.331,5
BRCA2,43.315,9
GTF3C5,43.313,10
ZMAT5,43.295,10
ACTR1A,43.285,5
ELP5,43.278,10
G6PD,43.278,4
ORAOV1,43.274,9
ISY1,43.272,10
CHRFAM7A,43.25,2
NME6,43.25,9
PCDHA8,43.25,5
PINX1,43.25,10
COPG1,43.248,10
SMARCA5,43.226,9
ITPK1,43.221,5
BIRC2,43.207,4
CCND3,43.188,5
PTPMT1,43.156,8
TAF6L,43.156,5
DAP3,43.149,9
MECOM,43.125,9
LSM12,43.12,10
TMEM41B,43.091,6
TAF6,43.061,10
PRRC2A,43.044,5
PMPCB,43.025,8
LPAR1,43,4
STAT3,43,4
RAC1,42.994,4
CCZ1B,42.958,10
CD2BP2,42.958,9
NAF1,42.958,9
CENPO,42.867,10
TRAPPC5,42.866,10
ZBTB8OS,42.849,5
PRPF39,42.846,10
RB1CC1,42.846,9
ZNHIT6,42.846,5
MRTO4,42.839,10
LMNB1,42.792,9
SAMD4B,42.792,10
GGTLC2,42.766,5
MRPL45,42.75,10
CHMP6,42.738,5
HSPA8,42.728,4
ACTG1,42.707,5
UBR4,42.695,5
TAF1C,42.692,10
BCS1L,42.688,9
USP5,42.684,4
NOP10,42.654,10
NDUFC2,42.648,1
RAD1,42.64,4
VPS18,42.634,9
AIFM1,42.625,4
RBM19,42.616,10
EXOSC4,42.576,6
LAS1L,42.533,10
RAF1,42.529,1
PDPK1,42.525,2
C9orf78,42.51,10
NSMCE4A,42.504,10
B3GNT2,42.5,5
GNA13,42.5,4
HNF1A,42.5,9
MRPL21,42.5,4
NFE2L1,42.5,10
TFAP2B,42.5,9
TP63,42.5,4
XRCC2,42.5,9
LIN7C,42.472,4
TADA2A,42.472,9
NUP62,42.461,9
DCLRE1B,42.46,4
NCAPG2,42.448,9
URB1,42.432,10
HK2,42.427,4
CDIPT,42.426,6
CXXC1,42.422,10
RAD21,42.41,4
GTF3C1,42.39,10
DHX35,42.388,10
SCD,42.382,4
DNLZ,42.363,10
ATP5O,42.329,5
EIF5A,42.321,5
CSNK1A1,42.32,4
DOLK,42.295,10
FASTKD5,42.295,10
MBTD1,42.295,9
GMNN,42.248,4
EXOC8,42.2,5
SBNO1,42.198,9
NOM1,42.194,10
CD3EAP,42.186,10
MRPS25,42.184,10
GINS4,42.155,6
PRKAR1A,42.15,4
LDB1,42.141,9
NMNAT1,42.139,4
IREB2,42.138,9
YARS2,42.132,4
UQCRC2,42.122,5
DPAGT1,42.105,9
PPP4C,42.094,5
ARHGAP11B,42.083,10
CCDC86,42.083,10
PAK1IP1,42.071,9
ABCD1,42.063,9
ATRN,42.063,4
MRPL49,42.063,4
PI4KB,42.063,4
TUBD1,42.063,8
RFC2,41.996,9
PIK3CB,41.981,2
MBNL1,41.972,9
HSP90AB1,41.947,4
TIPRL,41.938,10
ATP1B3,41.934,4
KIAA1429,41.905,10
SHQ1,41.905,10
TAMM41,41.808,10
SNF8,41.755,5
BCAR3,41.75,4
DIAPH3,41.75,9
UBIAD1,41.745,10
TRNT1,41.738,4
WDR77,41.735,4
NHP2,41.729,10
INO80,41.696,5
ACTB,41.695,5
DONSON,41.663,9
GMPPB,41.631,5
PGD,41.596,4
CDK7,41.594,2
C18orf21,41.592,10
GEMIN7,41.585,9
TFRC,41.583,4
TGIF1,41.583,10
RAPGEF1,41.558,10
TM9SF2,41.558,5
AHNAK,41.5,5
BCL11B,41.5,9
BRI3BP,41.5,9
C14orf80,41.5,10
CCDC102A,41.5,10
COX6A1,41.5,10
FAM185A,41.5,10
FCHO2,41.5,6
GEN1,41.5,5
PPCDC,41.5,9
ZBTB2,41.5,10
ZFAND5,41.5,9
ZFC3H1,41.5,5
TERF1,41.491,6
PELO,41.474,10
SMC6,41.474,9
USP10,41.398,9
WDR83,41.393,10
ERCC2,41.34,9
ADIPOR2,41.333,4
ASB3,41.333,10
CD151,41.333,5
CDX2,41.333,9
COX11,41.333,9
ETNK1,41.333,5
FLVCR1,41.333,5
PARVA,41.333,4
PPM1G,41.333,6
UBE2J1,41.333,9
SNRNP35,41.316,10
ACO2,41.282,9
MAGOH,41.271,4
KMT2D,41.125,4
UROS,41.125,10
ASUN,41.12,9
IER3IP1,41.1,10
SRSF6,41.084,9
DHX30,41.083,10
MAP3K7,41.068,4
TEAD1,41.042,4
PSMG4,41.034,10
SYT15,41.027,6
CWF19L2,41.014,10
VPS36,41.014,5
CBFB,41,7
FANCA,41,9
MEF2D,41,9
PRDM1,41,9
SCAP,41,9
SRPK1,41,3
CEP350,40.985,9
MYRF,40.969,9
NGLY1,40.969,4
PGK1,40.958,4
ILF3,40.955,9
RNASEK,40.917,6
LAMTOR2,40.819,5
DSTN,40.814,5
TARS2,40.8,9
LMNA,40.796,5
CCDC130,40.78,10
SLC31A1,40.771,5
CD44,40.75,4
PDCL,40.75,10
PHOX2A,40.75,9
SEC23IP,40.75,10
TRIB1,40.75,10
ZNF511,40.75,10
MSTO1,40.719,10
SURF6,40.68,10
MATR3,40.67,10
KIF18A,40.644,5
MED12,40.643,10
ARID4B,40.625,10
ADSS,40.618,5
CTU2,40.572,10
TRAPPC2L,40.566,10
PKN2,40.556,4
TIMM23,40.543,9
MRPL28,40.534,4
MED22,40.512,10
CEBPZ,40.51,10
UBE2F,40.5,10
UNC50,40.5,10
MRE11A,40.496,4
SNUPN,40.481,4
INTS12,40.474,10
KLF16,40.471,9
SUCLG1,40.438,5
NFYA,40.425,9
TRUB2,40.422,10
RPS19BP1,40.411,10
EEF1G,40.392,5
ISCA1,40.391,9
PTPN11,40.385,4
CFL1,40.362,4
BCAR1,40.361,9
KIF14,40.333,9
TBC1D10B,40.273,5
UBE2K,40.273,4
PPAN,40.233,9
PTMA,40.226,5
CAD,40.215,4
MFN2,40.213,9
ACOX1,40.212,5
STRIP1,40.212,5
VOPP1,40.212,9
SNRNP48,40.204,10
GTF2H3,40.18,10
WDR18,40.174,10
E4F1,40.167,9
MPHOSPH6,40.154,10
C1orf109,40.145,10
TLK2,40.125,7
MRPL39,40.108,4
MRPL44,40.065,4
TMED10,40.064,5
CPSF1,40.038,9
WRB,40.016,10
FNTB,40.007,4
SRP68,40.004,10
TMEM242,39.961,6
MRPS23,39.956,10
BAZ1B,39.888,9
ATP13A1,39.875,8
CMAS,39.875,9
CUL4B,39.875,5
DPM3,39.875,9
ECSIT,39.875,9
ELMO2,39.875,6
ENSA,39.875,10
G3BP1,39.875,6
IBA57,39.875,10
JAK1,39.875,1
KATNB1,39.875,5
SDHA,39.875,9
TSR3,39.875,9
WDR24,39.875,10
ZBTB38,39.875,5
SUDS3,39.845,10
WDHD1,39.807,9
UBE2V1,39.803,5
MRPL9,39.786,4
GFM1,39.75,9
MBTPS1,39.742,7
SPAG5,39.713,9
ING3,39.613,9
PYURF,39.607,10
PMF1,39.603,9
EEFSEC,39.583,10
ARHGAP11A,39.572,6
INTS6,39.562,10
OTUD5,39.477,4
ADAR,39.472,4
VHL,39.461,4
DIMT1,39.438,5
IL9R,39.438,5
ZNHIT2,39.435,10
PAX8,39.409,9
UBAP2L,39.389,9
FASN,39.38,1
FBXO11,39.328,9
ANKRD65,39.313,10
ELK1,39.313,9
GFM2,39.313,10
SNIP1,39.313,10
TMEM165,39.313,10
SEPHS2,39.306,10
KNTC1,39.292,5
YIPF5,39.292,10
ID1,39.25,9
SEC62,39.25,9
TAF3,39.25,10
SPRR1B,39.231,5
NELFCD,39.23,10
TRIAP1,39.223,4
ARPC4,39.213,5
RIMBP3B,39.202,10
SNAPIN,39.197,6
CCNH,39.18,7
HNRNPA2B1,39.156,4
CENPT,39.146,10
TSC2,39.125,6
ZNHIT3,39.121,10
PFDN4,39.094,9
CELSR2,39.086,6
SEC61B,39.086,10
ARF6,39.08,4
POU2F1,39.069,9
SPCS3,39.044,10
LCE5A,39.024,8
MCAT,39,4
PCGF1,39,10
SLC35A1,39,5
SOX17,39,9
SNAP23,38.981,5
COASY,38.979,5
EIF4G2,38.954,4
TXNL4B,38.946,4
ATP6V0E1,38.941,6
HSCB,38.928,9
TPT1,38.91,5
MRPS24,38.903,10
ARF4,38.9,5
SMS,38.885,4
HCCS,38.875,6
CEP85,38.833,10
TTC19,38.808,10
TANGO6,38.788,6
HS6ST1,38.781,5
RFWD3,38.781,9
IPO13,38.773,6
IMMT,38.766,10
DDX28,38.724,9
TAF5,38.717,9
SASS6,38.701,10
TXN,38.695,4
UTP6,38.695,10
RAD51C,38.654,9
MCM4,38.653,9
NAA15,38.627,10
CHTF8,38.625,5
BCL2,38.614,1
FDX1L,38.61,4
BPTF,38.599,4
AP2B1,38.583,4
CCDC93,38.583,10
DMXL1,38.583,10
FAM204A,38.583,9
FBXL5,38.583,4
MGEA5,38.583,7
MZF1,38.583,10
PLEKHG4,38.583,9
ZBTB12,38.583,10
CDC25B,38.58,4
DEXI,38.566,10
DHX33,38.554,10
MTIF2,38.543,9
RRP9,38.529,10
CAB39,38.477,4
RCL1,38.471,9
MAX,38.456,9
PNN,38.454,5
COPS3,38.426,9
APEX2,38.417,9
CHMP1B,38.417,5
KLF3,38.417,9
MRPL14,38.417,4
PDHB,38.417,5
RAB3GAP2,38.417,5
RELA,38.417,4
THOC6,38.417,10
ZNF131,38.414,10
FERMT1,38.375,6
DDX20,38.332,9
DSN1,38.323,5
WDR7,38.319,10
GIGYF2,38.318,9
GOLT1B,38.318,9
RALBP1,38.318,4
MRPL16,38.276,4
IPO11,38.256,10
CCNT1,38.25,4
PAK2,38.25,5
PLEKHM1,38.234,9
MRPS11,38.222,10
MRGPRX3,38.219,6
XPO1,38.185,4
DMAP1,38.174,9
CPD,38.125,5
SPICE1,38.125,9
ALAS1,38.083,10
FANCD2,38.083,9
PTPN7,38.083,4
REXO2,38.083,9
SREBF2,38.083,9
EMC4,38.074,6
NOP14,38.064,9
SLC25A38,38.056,10
MRPS12,38.047,10
METTL16,38.016,4
ARHGAP21,38,5
CTAGE5,38,10
MED10,38,10
RAD51D,38,9
RNF25,38,9
MED26,37.971,10
NDUFAF3,37.931,1
HGS,37.913,4
ATP5B,37.88,5
CYCS,37.879,4
MPHOSPH8,37.856,5
TIMM9,37.835,10
POLE3,37.833,9
SEPSECS,37.818,4
PDE12,37.803,4
BUD31,37.8,4
GPKOW,37.786,10
KDSR,37.776,5
CHCHD2,37.75,9
DDX1,37.725,9
EIF1AD,37.704,10
ANAPC15,37.688,10
ESCO2,37.688,9
FNDC3B,37.688,6
METTL3,37.688,9
PICALM,37.688,6
ARFRP1,37.673,9
CCP110,37.672,9
PPP1R8,37.656,4
MDM2,37.634,3
C14orf2,37.611,10
FAF2,37.611,5
FAM45A,37.611,10
RDM1,37.611,10
CIT,37.606,7
DNMT1,37.582,1
MRPL53,37.542,4
RPP21,37.541,10
FGFR1OP2,37.519,9
FTSJ2,37.519,6
METAP1,37.5,4
