	X
A2M	Surface
A4GALT	Surface
AAK1	Kinase
AARS	Surface
AATF	TF
AATK	Kinase
ABCA1	Surface
ABCA2	Surface
ABCA5	Surface
ABCA7	Surface
ABCA8	Surface
ABCB1	Surface
ABCC1	Surface
ABCC2	Surface
ABCC4	Surface
ABCC5	Surface
ABI3BP	Surface
ABL1	Kinase
ABL2	Kinase
ACAA1	Surface
ACAM	Surface
ACCN2	Surface
ACE	Surface
ACHE	Surface
ACP2	Surface
ACTB	Surface
ACTN1	Surface
ACTN4	Surface
ACVR1	Surface
ACVR1B	Kinase
ACVR1C	Kinase
ACVR2A	Surface
ACVR2B	Surface
ACVRL1	Kinase
ADAM10	Surface
ADAM12	Surface
ADAM15	Surface
ADAM17	Surface
ADAM19	Surface
ADAM22	Surface
ADAM8	Surface
ADAM9	Surface
ADAMTS15	Surface
ADAMTSL4	Surface
ADCK1	Kinase
ADCK2	Kinase
ADCK5	Kinase
ADCY3	Surface
ADCY6	Surface
ADCY7	Surface
ADCY9	Surface
ADORA1	Surface
ADRA2A	Surface
ADRA2C	Surface
ADRB2	Surface
AEBP1	Surface
AER61	Surface
AES	TF
AGPS	Surface
AGRN	Surface
AGTR1	Surface
AGTR2	Surface
AHR	TF
AHSG	Surface
AIP	TF
AIRE	TF
AKAP11	Surface
AKT1	Kinase
AKT2	Kinase
AKT3	Kinase
ALCAM	Surface
ALK	Kinase
ALPK1	Kinase
ALPK2	Kinase
ALPK3	Kinase
ALPL	Surface
ALPP	Surface
AMBP	Surface
AMHR2	Kinase
AMICA1	Surface
AMIGO1	Surface
AMIGO2	Surface
ANGPT1	Surface
ANGPTL1	Surface
ANGPTL2	Surface
ANGPTL4	Surface
ANKK1	Kinase
ANKRD1	TF
ANO5	Surface
ANO6	Surface
ANO9	Surface
ANPEP	Surface
ANTXR1	Surface
AOC3	Surface
APBB1	TF
APC	TF
APCDD1	Surface
APEX1	TF
APLF	Surface
APLNR	Surface
APLP1	Surface
APLP2	Surface
APMAP	Surface
APOB	Surface
APOD	Surface
APOH	Surface
AQP1	Surface
AR	TF
ARAF	Kinase
AREG	Surface
ARID1A	TF
ARID1B	TF
ARID3A	TF
ARNT	TF
ARNTL	TF
ARNTL2	TF
ARSB	Surface
ARSE	Surface
ARSF	Surface
ARX	TF
ASAH1	Surface
ASCL1	TF
ASH1L	TF
ASPH	Surface
ASPN	Surface
ASXL1	TF
ATF1	TF
ATF2	TF
ATF3	TF
ATF4	TF
ATF5	TF
ATF6	TF
ATF6B	Surface
ATF7	TF
ATG9A	Surface
ATL1	Surface
ATM	Kinase
ATOH1	TF
ATP1A1	Surface
ATP1A3	Surface
ATP1B1	Surface
ATP1B2	Surface
ATP1B3	Surface
ATP6AP1	Surface
ATP6V0A1	Surface
ATP6V0A2	Surface
ATR	Kinase
ATRN	Surface
ATRX	Surface
AURKA	Kinase
AURKB	Kinase
AURKC	Kinase
AXL	Surface
Apr-03	Surface
B3GALTL	Surface
B3GNT1	Surface
B3GNT2	Surface
B4GALT3	Surface
B4GALT5	Surface
BACE1	Surface
BACH1	TF
BACH2	TF
BARD1	TF
BARX2	TF
BAT2L2	Surface
BATF	TF
BCAM	Surface
BCAN	Surface
BCHE	Surface
BCKDK	Kinase
BCL11A	TF
BCL3	TF
BCL6	TF
BDNF	Surface
BDP1	TF
BGN	Surface
BHLHE41	TF
BIN1	TF
BIRC6	Surface
BLK	Kinase
BMI1	TF
BMP1	Surface
BMP2K	Kinase
BMPR1A	Kinase
BMPR1B	Kinase
BMPR2	Surface
BMX	Kinase
BPTF	TF
BRAF	Kinase
BRCA1	TF
BRCA2	TF
BRD7	TF
BRI3BP	Surface
BRIP1	TF
BRPF1	TF
BRSK1	Kinase
BRSK2	Kinase
BSCL2	Surface
BSG	Surface
BST1	Surface
BST2	Surface
BTAF1	TF
BTD	Surface
BTF3	TF
BTG2	TF
BTK	Kinase
BTLA	Surface
BTN2A1	Surface
BTN3A3	Surface
BUB1	Kinase
BUB1B	Kinase
BVES	Surface
C10orf54	Surface
C10orf72	Surface
C11orf24	Surface
C12orf49	Surface
C19orf6	Surface
C1QTNF2	Surface
C1orf159	Surface
C1orf85	Surface
C1orf9	Surface
C3	Surface
C4A	Surface
C4BPA	Surface
C4BPB	Surface
C6orf120	Surface
C7orf42	Surface
C9orf5	Surface
CA12	Surface
CACHD1	Surface
CACNA2D1	Surface
CACNA2D2	Surface
CACNG6	Surface
CADM1	Surface
CADM2	Surface
CADM3	Surface
CADM4	Surface
CALCRL	Surface
CALR	Surface
CALU	Surface
CAMK1	Kinase
CAMK1D	Kinase
CAMK1G	Kinase
CAMK2A	Kinase
CAMK2B	Kinase
CAMK2D	Kinase
CAMK2G	Kinase
CAMK4	Kinase
CAMKK1	Kinase
CAMKK2	Kinase
CAMKV	Kinase
CANT1	Surface
CANX	Surface
CAPNS1	Surface
CASC4	Surface
CASD1	Surface
CASK	Kinase
CASP7	Surface
CBFA2T3	TF
CBFB	TF
CBX7	TF
CBX8	TF
CCDC126	Surface
CCDC80	Surface
CCR4	Surface
CCR7	Surface
CCRN4L	Surface
CCT4	Surface
CD101	Surface
CD109	Surface
CD14	Surface
CD151	Surface
CD160	Surface
CD163	Surface
CD164	Surface
CD180	Surface
CD19	Surface
CD1B	Surface
CD1C	Surface
CD1D	Surface
CD2	Surface
CD200	Surface
CD200R1	Surface
CD22	Surface
CD226	Surface
CD244	Surface
CD27	Surface
CD274	Surface
CD276	Surface
CD28	Surface
CD302	Surface
CD33	Surface
CD34	Surface
CD36	Surface
CD37	Surface
CD38	Surface
CD3D	Surface
CD3G	Surface
CD4	Surface
CD40	Surface
CD40LG	Surface
CD44	Surface
CD46	Surface
CD47	Surface
CD48	Surface
CD5	Surface
CD53	Surface
CD55	Surface
CD58	Surface
CD59	Surface
CD6	Surface
CD63	Surface
CD68	Surface
CD69	Surface
CD7	Surface
CD70	Surface
CD72	Surface
CD74	Surface
CD79A	Surface
CD79B	Surface
CD80	Surface
CD82	Surface
CD83	Surface
CD84	Surface
CD86	Surface
CD96	Surface
CD97	Surface
CDC42BPA	Kinase
CDC42BPB	Kinase
CDC42BPG	Kinase
CDC5L	TF
CDC7	Kinase
CDCA7L	TF
CDCP1	Surface
CDH1	Surface
CDH10	Surface
CDH11	Surface
CDH13	Surface
CDH15	Surface
CDH17	Surface
CDH19	Surface
CDH2	Surface
CDH3	Surface
CDH4	Surface
CDH5	Surface
CDH6	Surface
CDH8	Surface
CDH9	Surface
CDK1	Kinase
CDK10	Kinase
CDK11A	Kinase
CDK11B	Kinase
CDK12	Kinase
CDK13	Kinase
CDK14	Kinase
CDK15	Kinase
CDK16	Kinase
CDK17	Kinase
CDK18	Kinase
CDK19	Kinase
CDK2	Kinase
CDK20	Kinase
CDK3	Kinase
CDK4	Kinase
CDK5	Kinase
CDK6	Kinase
CDK7	Kinase
CDK8	Kinase
CDK9	Kinase
CDKL1	Kinase
CDKL2	Kinase
CDKL3	Kinase
CDKL4	Kinase
CDKL5	Kinase
CDON	Surface
CDSN	Surface
CDX1	TF
CDX2	TF
CEACAM1	Surface
CEACAM6	Surface
CEACAM8	Surface
CEBPA	TF
CEBPB	TF
CEBPD	TF
CEBPE	TF
CEBPG	TF
CEBPZ	TF
CELSR1	Surface
CELSR2	Surface
CELSR3	Surface
CERCAM	Surface
CES1	Surface
CFH	Surface
CGN	Surface
CHD4	TF
CHD8	TF
CHEK1	Kinase
CHEK2	Kinase
CHGA	Surface
CHL1	Surface
CHPF2	Surface
CHRNA3	Surface
CHST11	Surface
CHST12	Surface
CHST3	Surface
CHST6	Surface
CHST7	Surface
CHSY3	Surface
CHUK	Kinase
CIITA	TF
CIT	Kinase
CITED2	TF
CLCA2	Surface
CLCN2	Surface
CLCN6	Surface
CLDN12	Surface
CLDND1	Surface
CLEC12A	Surface
CLEC14A	Surface
CLEC1A	Surface
CLEC1B	Surface
CLEC2B	Surface
CLEC2D	Surface
CLEC5A	Surface
CLK1	Kinase
CLK2	Kinase
