,0
647,SHQ1
648,YARS
649,SNRNP70
650,VARS
651,RPL23
652,PSMD1
653,PRMT1
654,NARFL
655,SRSF11
656,NDOR1
657,EMC3
658,NOP16
659,DBR1
660,PISD
661,PSMA7
662,ECD
663,CHORDC1
664,SMC4
665,SRRM1
666,EIF3D
667,COX6B1
668,GOLGA6A
669,PPWD1
670,SNRPD2
671,CDK9
672,MED8
673,COX11
674,GSPT1
675,RPS7
676,RPS29
677,RPL10A
678,LSM12
679,CDCA8
680,MTOR
681,KPNB1
682,MRPL57
683,VPS25
684,WDR92
685,ALYREF
686,BUB3
687,NUDCD3
688,ETF1
689,RPS16
690,CDC42
691,RPS19
692,PPIA
693,RCC1
694,HIST1H2BN
695,ESF1
696,ATP6V1D
697,KAT8
698,FNTA
699,MBTPS1
700,CHAF1B
701,RFC3
702,EIF5B
703,IPO11
704,GTF2A1
705,SLMO2
706,PCBP2
707,ZNF830
708,SNRPD1
709,PCF11
710,MED20
711,NUP88
712,CCT5
713,IARS
714,THOC1
715,RABGGTA
716,RPS8
717,COPG1
718,RPL9
719,ACTR8
720,HIST1H2BJ
721,LCE1A
722,NCAPG2
723,NARS
724,SLC7A6OS
725,LTV1
726,TTC4
727,HARS
728,KANSL2
729,PAXBP1
730,GTF2H2C
731,TXNL4A
732,MCMBP
733,TAF10
734,RPL3
735,HAUS6
736,DHX15
737,RPL14
738,MRPS23
739,PPARGC1B
740,PRPF4
741,ARL2
742,WARS
743,RBM17
744,AURKA
745,SETD1A
746,NAA50
747,RPS12
748,ECT2
749,TCP1
750,LSM6
751,CDIPT
752,GFM1
753,PPP1R2
754,WBP11
755,NPIPB5
756,CCT3
757,MCM3
758,MASTL
759,IMP3
760,MRPL43
761,XRN2
762,FARS2
763,SRP14
764,KIF11
765,KARS
766,CDK1
767,PDCD7
768,RPL12
769,SF3B2
770,USP36
771,CDC16
772,XAB2
773,PDCD11
774,SNF8
775,UBE2D3
776,SASS6
777,DIMT1
778,TMA16
779,DPY19L2
780,CTDP1
781,RFK
782,RPAP2
783,IARS2
784,URI1
785,TBC1D3C
786,SF3A3
787,PUF60
788,DPH3
789,MRPL45
790,WDR61
791,ATP5F1B
792,CENPM
793,TBCB
794,DDX10
795,NPIPB6
796,BCAS2
797,CCDC115
798,SUMO2
799,NAMPT
